draw,M,C,L,KD,MP,S,V,SD,ÖVR,bloc_1,bloc_2
558,70,25,19,22,22,100,29,62,0,176,173
559,71,25,19,22,22,98,29,63,0,174,175
560,71,25,19,22,22,99,29,62,0,175,174
561,71,25,19,22,22,99,30,61,0,176,173
562,70,25,19,22,22,99,30,62,0,176,173
563,71,25,19,22,22,99,29,62,0,175,174
564,70,25,19,22,21,100,30,62,0,176,173
565,70,25,19,22,22,99,30,62,0,176,173
566,70,25,19,22,21,100,30,62,0,176,173
567,71,25,20,22,22,99,29,61,0,175,174
568,70,25,19,22,22,99,30,62,0,176,173
569,71,25,19,22,22,99,29,62,0,175,174
570,71,25,19,22,22,99,29,62,0,175,174
571,71,25,19,22,22,99,29,62,0,175,174
572,71,25,19,22,22,98,30,62,0,175,174
573,70,25,19,22,22,99,30,62,0,176,173
574,71,25,19,22,22,99,29,62,0,175,174
575,70,25,19,22,22,99,30,62,0,176,173
576,70,25,19,22,22,99,30,62,0,176,173
