code,municipality,county,constituency,constituency_name,name,electorate,kind,baseline_source,prior_rate,expected_votes,old_codes,prior_M,prior_C,prior_L,prior_KD,prior_MP,prior_S,prior_V,prior_SD,prior_ÖVR
01170013,0117,01,02,Stockholms län,Rydbo,1171,ordinary,district_mapping,0.8620361560418649,1009.4443387250238,01170013,0.28940142778693023,0.11477210323997804,0.08511806699615596,0.04228445908841296,0.05656232839099396,0.21032399780340472,0.013728720483250962,0.18066996155958265,0.007138934651290499
01170014,0117,01,02,Stockholms län,Skånsta,1345,ordinary,district_mapping,0.8615840118430792,1158.8304959289414,01170014,0.2640136927685066,0.08258451005562688,0.05348737697903295,0.06546854942233633,0.04321780059905862,0.2682926829268293,0.03380402225074882,0.17928968763371844,0.009841677364142062
01170015,0117,01,02,Stockholms län,Skärgårdsstad,1303,ordinary,district_mapping,0.8924646781789639,1162.88147566719,01170015,0.3508541392904074,0.06701708278580815,0.07490144546649145,0.060884800700832235,0.02847130968024529,0.17915024091108192,0.01971090670170828,0.20543144984669295,0.01357862461673237
01170016,0117,01,02,Stockholms län,Smedby,1219,ordinary,district_mapping,0.8344887348353552,1017.2417677642981,01170016,0.26098191214470284,0.07906976744186046,0.06770025839793281,0.05219638242894057,0.06253229974160207,0.2558139534883721,0.028423772609819122,0.1855297157622739,0.007751937984496124
01170017,0117,01,02,Stockholms län,Svinninge,1845,ordinary,district_mapping,0.8820391227030231,1627.3621813870775,01170017,0.3574539363484087,0.08274706867671691,0.07939698492462312,0.05393634840871022,0.04455611390284757,0.17185929648241205,0.019765494137353432,0.17922948073701842,0.011055276381909548
01170018,0117,01,02,Stockholms län,Säby,1046,ordinary,district_mapping,0.8673469387755102,907.2448979591836,01170018,0.2553606237816764,0.08382066276803118,0.06432748538011696,0.057829759584145546,0.05912930474333983,0.23066926575698504,0.025341130604288498,0.20857699805068225,0.014944769330734242
01170019,0117,01,02,Stockholms län,Söra N,1723,ordinary,district_mapping,0.8722388059701492,1502.8674626865673,01170019,0.24803821221426134,0.07198908222449676,0.06175366769020812,0.042647560559535995,0.048106448311156604,0.290344592289321,0.05015353121801433,0.1750255885363357,0.011941316956670079
01170020,0117,01,02,Stockholms län,Söra S,1342,ordinary,district_mapping,0.7702596380802518,1033.688434303698,01170020,0.22419928825622776,0.05134722928317234,0.05236400610066091,0.03914590747330961,0.05541433655312659,0.2984239959328927,0.06354855109303507,0.20589730554143365,0.009659379766141332
01170021,0117,01,02,Stockholms län,Tråsättra,1728,ordinary,municipality_residual,0.801649793775778,1385.2508436445444,,0.24307907954678193,0.065062492699451,0.04987735077677841,0.04006541291905151,0.038430089942763694,0.2928396215395398,0.050578203480901765,0.20990538488494334,0.010162364209788576
01170022,0117,01,02,Stockholms län,Tuna,1263,ordinary,district_mapping,0.8156378600823045,1030.1506172839506,01170022,0.23857358111501759,0.08488196885986941,0.06780512305374184,0.048719236564540434,0.057759919638372674,0.28478151682571573,0.03566047212456052,0.1652435961828227,0.016574585635359115
01170023,0117,01,02,Stockholms län,Åkerstorp,1362,ordinary,district_mapping,0.8607594936708861,1172.3544303797469,01170023,0.2055148642826368,0.09694097371822491,0.05816458423093494,0.04437742352434296,0.05299439896596295,0.3054717794054287,0.04437742352434296,0.17794054286945282,0.014218009478672985
